"","topic","term","beta"
"1","HeartHealth","blood pressure",0.00252045227025878
"2","HeartHealth","vitamin d",0.00210241069316685
"3","HeartHealth","heart failure",0.00164816364587541
"4","HeartHealth","development of",0.000978223550849566
"5","HeartHealth","levels of",0.000976895473506129
"6","TumorGrowth","tumor cells",0.00846214545109749
"7","TumorGrowth","treating patients",0.00528237899666128
"8","TumorGrowth","phase ii",0.0049339327775768
"9","TumorGrowth","breast cancer",0.00457698181256888
"10","TumorGrowth","cancer cells",0.00407947153947927
"11","Hepatitis/StemCell","the body",0.00220935685399722
"12","Hepatitis/StemCell","the blood",0.00187548422475153
"13","Hepatitis/StemCell","the brain",0.00179257502661953
"14","Hepatitis/StemCell","side effects",0.00148620839095211
"15","Hepatitis/StemCell","the drug",0.00129056650229496
"16","Cancer","type 2",0.00557658744071355
"17","Cancer","2 diabetes",0.004673061024656
"18","Cancer","diabetes mellitus",0.00233497858039762
"19","Cancer","blood glucose",0.00168300078029666
"20","Cancer","type 1",0.00162909559858185
"21","PostCare","post operative",0.00100493579387445
"22","PostCare","back pain",0.000911284249818772
"23","PostCare","postoperative pain",0.000865009794101909
"24","PostCare","incidence of",0.000854884028770503
"25","PostCare","pain in",0.000754554862878863
"26","BrainStudy","hiv infected",0.00156969151740042
"27","BrainStudy","in hiv",0.00128487806679916
"28","BrainStudy","hiv 1",0.00109845099403587
"29","BrainStudy","of hiv",0.000976084856582048
"30","BrainStudy","long term",0.000759787904296765
"31","Diabetes/Types","the intervention",0.00206529367892588
"32","Diabetes/Types","physical activity",0.00173101743754362
"33","Diabetes/Types","follow up",0.00144349550962033
"34","Diabetes/Types","health care",0.00117470507503274
"35","Diabetes/Types","randomized controlled",0.00115291636613221
"36","DrugDosage","tolerability of",0.00355185207610297
"37","DrugDosage","doses of",0.00337713033978291
"38","DrugDosage","pharmacokinetics of",0.0027646989489692
"39","DrugDosage","single dose",0.00264072476848324
"40","DrugDosage","the pharmacokinetics",0.00261719256262239
"41","PhysiologicalEffects","weight loss",0.00110714567940056
"42","PhysiologicalEffects","fatty acids",0.000924106458394273
"43","PhysiologicalEffects","omega 3",0.000815192889648552
"44","PhysiologicalEffects","body composition",0.00068411864728273
"45","PhysiologicalEffects","long term",0.000680984573291365
"46","TrialExecution","open label",0.00380301270907801
"47","TrialExecution","double blind",0.00252597938161501
"48","TrialExecution","follow up",0.00228198674209971
"49","TrialExecution","to receive",0.00175004673541281
"50","TrialExecution","placebo controlled",0.00172778780939549
